season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2022,REG,0,Davante Adams,WR,LV,6.141304347826087,2.687917474044639,10.039148936170214,38.09831406239908,26,47,55.319148936170215,290,3,4.51076923076923,3.610820131846651,0.8999490989225793,00-0031381,Davante,Adams,17,D.Adams
2022,REG,0,Noah Fant,TE,SEA,6.13125,5.0968733222473075,3.9545454545454537,4.150525733259545,10,11,90.9090909090909,56,1,2.686000000000001,1.9145640844973628,0.771435915502638,00-0035644,Noah,Fant,87,N.Fant
2022,REG,0,Evan Engram,TE,JAX,6.077500000000001,2.7228749116792224,5.76375,9.707572791006127,13,16,81.25,99,0,3.3176923076923077,3.4471961518837086,-0.12950384419140093,00-0033881,Evan,Engram,17,E.Engram
2022,REG,0,Jaylen Waddle,WR,MIA,6.0762857142857145,2.895494224940926,11.242857142857142,33.34547950545307,21,35,60,381,3,7.319047619047619,4.585766767582781,2.733280851464838,00-0036613,Jaylen,Waddle,17,J.Waddle
2022,REG,0,DK Metcalf,WR,SEA,6.06741935483871,2.2812110164336934,11.52,38.47107990000572,23,35,65.71428571428571,284,1,3.085217391304347,2.5470871075359223,0.5381302837684245,00-0035640,DeKaylin,Metcalf,14,D.Metcalf
2022,REG,0,Irv Smith,TE,MIN,6.065333333333333,3.682188436890244,5.915499999999999,11.917161074569133,10,20,50,91,1,5.1240000000000006,4.812235450753993,0.31176454924600794,00-0034970,Irvin,Smith,84,I.Smith
2022,REG,0,Shi Smith,WR,CAR,6.017499999999999,3.315738762495097,7.957692307692307,13.690744024774357,4,13,30.76923076923077,36,0,5.595000000000002,6.23323169930984,-0.6382316993098378,00-0036572,Shiyun,Smith,12,S.Smith
2022,REG,0,Marvin Jones,WR,JAX,6.01,2.1343702595944896,14.272631578947369,28.54586412345523,11,19,57.89473684210527,104,1,1.1672727272727272,1.896805682765086,-0.7295329554923589,00-0029293,Marvin,Jones,11,M.Jones
2022,REG,0,Chase Claypool,WR,PIT,6.001052631578946,2.1371374302078467,10.502500000000001,16.098869515232806,11,20,55.00000000000001,85,0,1.204545454545454,1.4327138671620199,-0.22816841261656595,00-0036326,Chase,Claypool,11,C.Claypool
2022,REG,0,Will Dissly,TE,SEA,5.983333333333333,4.191372031914649,5.161666666666668,5.909966986622903,12,12,100,116,3,4.813333333333333,4.949367314147328,-0.13603398081399565,00-0034159,Will,Dissly,89,W.Dissly
2022,REG,0,Tyler Conklin,TE,NYJ,5.973571428571428,4.749967142063517,4.403448275862069,8.472383479847403,21,29,72.41379310344827,192,1,5.4714285714285715,5.325830951129503,0.14559762029906853,00-0034270,Tyler,Conklin,83,T.Conklin
2022,REG,0,K.J. Osborn,WR,MIN,5.915625,4.098515518816971,10.454999999999998,16.849824229176946,11,16,68.75,118,1,3.47,3.5687420612755405,-0.0987420612755403,00-0036345,K.J.,Osborn,17,K.Osborn
2022,REG,0,Josh Palmer,WR,LAC,5.900555555555556,4.133042105328336,7.747272727272724,15.527718307292847,14,22,63.63636363636363,159,1,4.977142857142859,4.617941430660296,0.3592014264825627,00-0036988,Josh,Palmer,5,J.Palmer
2022,REG,0,Pharaoh Brown,TE,HOU,5.865714285714286,4.772598140782949,4.894999999999999,4.725131521791591,7,10,70,72,0,7.701428571428572,9.462059660616822,-1.7606310891882497,00-0033439,Pharaoh,Brown,85,P.Brown
2022,REG,0,Elijah Moore,WR,NYJ,5.857391304347826,2.835996327201695,14.2908,23.703433405208155,15,25,60,192,0,2.1286666666666667,3.1884560971974283,-1.0597894305307616,00-0036980,Elijah,Moore,8,E.Moore
2022,REG,0,Justin Jefferson,WR,MIN,5.832972972972972,3.3819671322117753,9.293333333333335,39.316256534746216,28,42,66.66666666666666,393,2,5.924642857142857,6.2160833002731914,-0.2914404431303348,00-0036322,Justin,Jefferson,18,J.Jefferson
2022,REG,0,Nico Collins,WR,HOU,5.819047619047619,2.36323157297035,14.284761904761906,28.956995994015156,11,21,52.38095238095239,207,0,5.268181818181817,4.902123911831614,0.3660579063502025,00-0036554,Nico,Collins,12,N.Collins
2022,REG,0,Devin Duvernay,WR,BAL,5.815833333333333,2.619568973031505,11.793846153846154,14.168091299727395,12,13,92.3076923076923,172,3,3.4399999999999995,3.4817815070680376,-0.04178150706803807,00-0036331,Devin,Duvernay,13,D.Duvernay
2022,REG,0,Rashod Bateman,WR,BAL,5.806818181818182,3.2020315058890816,14.204545454545455,28.877697176916328,11,22,50,243,2,10.512727272727275,5.999641674018097,4.5130855987091785,00-0036550,Rashod,Bateman,7,R.Bateman
2022,REG,0,Michael Pittman,WR,IND,5.790357142857142,2.684269777261247,6.510714285714285,17.935852026761115,20,28,71.42857142857143,224,1,4.3759999999999994,4.196462549710378,0.17953745028962143,00-0036252,Michael,Pittman,11,M.Pittman
2022,REG,0,Hunter Renfrow,WR,LV,5.767333333333334,2.887352417262541,3.428124999999999,4.428815967960726,10,16,62.5,80,0,5.261000000000001,5.725456132651478,-0.46445613265147667,00-0034983,Hunter,Renfrow,13,H.Renfrow
2022,REG,0,Adam Thielen,WR,MIN,5.765185185185185,2.592151123402757,9.72607142857143,27.431328505091816,21,28,75,221,1,1.9066666666666658,2.539092036670733,-0.632425370004067,00-0030035,Adam,Thielen,19,A.Thielen
2022,REG,0,Dawson Knox,TE,BUF,5.755000000000001,3.2853214480022688,5.798823529411765,8.825425246195165,12,17,70.58823529411765,111,0,4.797499999999999,3.577964419062764,1.2195355809372352,00-0035689,Dawson,Knox,88,D.Knox
2022,REG,0,Mark Andrews,TE,BAL,5.744666666666666,3.1562470746353357,11.38888888888889,37.88753869611422,24,36,66.66666666666666,260,3,3.611666666666667,4.132409533038986,-0.5207428663723195,00-0034753,Mark,Andrews,89,M.Andrews
2022,REG,0,Jarvis Landry,WR,NO,5.72529411764706,3.1774498294792473,10.657142857142858,14.264498734806526,15,21,71.42857142857143,168,0,2.5066666666666673,2.9389940913955948,-0.4323274247289275,00-0031382,Jarvis,Landry,5,J.Landry
2022,REG,0,Courtland Sutton,WR,DEN,5.696176470588235,3.144784568628728,12.551142857142858,42.21669101253171,24,35,68.57142857142857,343,1,2.8904166666666655,3.314674196370278,-0.4242575297036124,00-0034348,Courtland,Sutton,14,C.Sutton
2022,REG,0,Travis Kelce,TE,KC,5.672962962962963,2.5141821108273725,8.608235294117648,26.223926600243715,26,34,76.47058823529412,322,3,5.145,4.363168659799129,0.7818313402008705,00-0030506,Travis,Kelce,87,T.Kelce
2022,REG,0,Amari Cooper,WR,CLE,5.658387096774193,2.5669608075937216,11.491612903225807,38.900597311552026,20,31,64.51612903225806,228,2,2.8815000000000004,2.1365984557484126,0.7449015442515878,00-0031544,Amari,Cooper,2,A.Cooper
2022,REG,0,Treylon Burks,WR,TEN,5.658,3.8638663200370154,11.7525,24.307763902893047,10,16,62.5,129,0,5.929,5.800010949148072,0.1289890508519287,00-0037742,Treylon,Burks,16,T.Burks
2022,REG,0,Randall Cobb,WR,GB,5.565,2.7826871099350092,12.093333333333334,18.896325425141278,10,12,83.33333333333334,150,0,7.369,4.448602615083734,2.9203973849162654,00-0028002,Randall,Cobb,18,R.Cobb
2022,REG,0,Diontae Johnson,WR,PIT,5.491944444444444,2.674907700992791,11.064864864864866,31.377658555278792,23,37,62.16216216216216,207,0,0.7921739130434774,1.708238689184789,-0.9160647761413115,00-0035216,Diontae,Johnson,18,D.Johnson
2022,REG,0,Mo Alie-Cox,TE,IND,5.488181818181818,3.391194670572468,5.492857142857143,7.565918929555293,10,14,71.42857142857143,129,2,7.209999999999999,3.497021654121795,3.712978345878204,00-0033217,Mo,Alie-Cox,81,M.Alie-Cox
2022,REG,0,Stefon Diggs,WR,BUF,5.447179487179487,2.9246851793012056,10.76048780487805,39.49686660698299,31,41,75.60975609756098,406,4,3.5422580645161292,3.1420667421910276,0.4001913223251017,00-0031588,Stefon,Diggs,14,S.Diggs
2022,REG,0,Logan Thomas,TE,WAS,5.415,2.821159593307942,7.673,11.311353367386802,13,20,65,106,1,3.0815384615384604,2.69791340327479,0.38362505826367066,00-0031260,Logan,Thomas,82,L.Thomas
2022,REG,0,A.J. Brown,WR,PHI,5.397631578947369,2.554549888451977,11.559736842105263,46.135022160606624,25,38,65.78947368421053,404,1,6.976400000000001,5.72025741742611,1.256142582573891,00-0035676,Arthur,Brown,11,A.Brown
2022,REG,0,John Bates,TE,WAS,5.371428571428572,5.346317646424149,2.5463636363636364,2.064583655809359,6,11,54.54545454545454,34,0,3.4200000000000017,4.334447540149493,-0.9144475401494914,00-0036628,John,Bates,87,J.Bates
2022,REG,0,Juwan Johnson,TE,NO,5.347857142857142,1.8841931150938909,10.931764705882353,11.845015392656142,9,17,52.94117647058824,116,0,2.3577777777777755,2.5919791948137174,-0.23420141703594188,00-0036040,Juwan,Johnson,83,J.Johnson
2022,REG,0,Nelson Agholor,WR,NE,5.347777777777777,3.4605568911424163,12.892777777777777,21.916139389932944,14,18,77.77777777777779,225,1,6.359285714285714,3.927902298417361,2.431383415868353,00-0031549,Nelson,Agholor,15,N.Agholor
2022,REG,0,Cameron Brate,TE,TB,5.271666666666666,3.426626858770899,6.900526315789473,11.297327106347044,11,19,57.89473684210527,100,0,2.7454545454545456,3.5589931433372652,-0.8135385978827196,00-0031273,Cameron,Brate,84,C.Brate
